City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
college,40,US,1579133113,77,-8.697200935397007,-10.12377058188818,5.0,5.82
georgetown,20,MY,1579132928,78,-86.28884200130774,-78.65508773277458,78.8,4.7
ushuaia,75,AR,1579132802,75,-32.75161514448722,34.63447678923109,42.8,31.09
chinsali,100,ZM,1579133392,98,-11.209647453763239,32.084708536650396,65.53,3.8
upernavik,100,GL,1579133089,97,76.27706799331014,-59.303727910001086,-3.24,3.18
bilma,0,NE,1579133094,46,6.555646596672688,-179.28565488144366,53.74,17.72
brae,53,GB,1579133392,81,19.002322868665075,13.504039203939186,46.4,28.86
victoria,20,HK,1579133046,82,67.9249572848681,-0.8495561264024616,66.99,14.99
bredasdorp,60,ZA,1579133099,86,-6.367527026068117,51.12163392989743,73.99,7.0
sambava,100,MG,1579133117,95,-64.48557480882631,21.124273721414,71.85,3.04
cabo san lucas,75,MX,1579132823,29,-11.308529869151016,52.19532027095909,78.8,4.7
hilo,90,US,1579133088,69,4.598098087588539,-119.01464708277751,77.0,10.29
qujing,0,CN,1579133394,96,3.011996402833063,-160.37906515550966,37.26,1.97
malanje,98,AO,1579133394,98,25.71701627552514,104.29073724015643,64.67,3.47
komsomolskiy,90,UZ,1579133120,74,-9.98806336245731,17.75645128296094,33.8,2.24
chebsara,100,RU,1579133394,93,72.68995422960677,172.70083848775738,40.12,14.14
reconquista,73,AR,1579133394,91,59.006088016845354,38.71543214590611,76.93,16.33
busselton,0,AU,1579133043,68,-29.67541400796805,-59.796531967054094,71.01,3.0
evensk,100,RU,1579133169,95,-49.21705149626612,83.66636626172442,-6.3,16.04
kapaa,90,US,1579133025,74,24.856605059205023,-149.6444906300061,80.6,14.99
killybegs,69,IE,1579133395,88,62.67552603498487,162.5987559981072,41.0,10.0
koulamoutou,77,GA,1579133395,93,30.92941768555245,-163.64141821272722,74.17,1.79
hervey bay,75,AU,1579133151,65,58.39132935844327,-11.135056471404113,82.4,5.82
vaini,40,TO,1579133090,74,-1.1423083274677879,12.333995650226484,86.0,12.75
severo-kurilsk,92,RU,1579133088,90,-25.52656980674554,154.8123047980165,17.28,21.63
nanortalik,55,GL,1579133089,39,-56.50277066501324,-179.43700292886297,23.23,5.48
meadow lake,1,US,1579133396,20,-80.16060892536156,-57.77574696092131,55.4,1.3
yellowknife,75,CA,1579133042,73,33.465242425721954,167.85090755048685,-29.0,3.36
jamestown,90,US,1579133065,60,60.870020596783434,-40.95276224972292,44.01,8.05
port elizabeth,75,ZA,1579132811,94,54.88556990113727,-108.91290508208179,73.4,4.7
puerto ayora,75,EC,1579133103,69,82.66252876500232,-111.7828034939567,82.4,18.34
arraial do cabo,0,BR,1579133100,78,-36.69605971136745,-6.543926755624369,77.0,16.11
ust-nera,98,RU,1579133140,100,36.498015897277085,157.47672988138544,-40.97,2.35
berlevag,100,NO,1579133094,62,-57.088219980486784,30.645127926441717,26.98,16.96
carnarvon,0,AU,1579133120,88,-25.908495223916972,-105.59736502341175,78.8,3.89
durango,100,MX,1579133398,42,-89.03468081568627,-59.225313129478366,63.0,2.93
avarua,99,CK,1579133096,83,-88.61527918058235,24.20069180115354,78.8,16.11
castro,100,BR,1579132930,97,-42.96055488574406,-27.2274545139218,67.96,3.15
